address,baths,beds,date,price,area,geocode,lat,long
126 Caisleán Way ,4,5,2021-08-06,285000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
126 Caisleé N Way ,4,5,2021-08-06,285000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
25 Innishmore Drive ,4,5,2021-08-06,229000,Innishmore,"51.88897474404985, -8.608958999892096",51.88897474404985,-8.608958999892096
194 The Willows ,4,5,2021-08-06,249500,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
37 Millers Court Old Quarter ,4,5,2021-08-06,410000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
78 Leslies Arch Old Quarter ,4,5,2021-08-06,440000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
21 Berryfield Classes Lake ,4,5,2021-08-06,495000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
Coolroe ,4,5,2021-08-06,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
39 The Brambles Classes Lake ,4,5,2021-08-06,360000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
50 Old Court Greenfields ,4,5,2021-08-06,350000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
22 Beech Road Muskerry Estate Ballincollg ,4,5,2021-08-06,350000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
79 Coopers Grange Old Quarter ,4,5,2021-08-06,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
8 Millers Court Old Quarter ,4,5,2021-08-06,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
36 Limeworth ,4,5,2021-08-06,745000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
104 Caisleé N Grove ,4,5,2021-08-06,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
10 Aylsbury Avenue ,4,5,2021-08-06,420000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
104 Caisleán Grove ,4,5,2021-08-06,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
14 The Avenue Highfield Park ,4,5,2021-08-06,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
4 Leo Murphy Terrace ,3,2,2021-08-06,220000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
"14 The Avenue, Highfield Park, Ballincollig, Cork
                ",3,2,2021-08-06,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
57 57A Rosewood ,3,2,2021-08-06,395000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
