country,cases,deaths,date
Albania,2,0,2020-03-09
Albania,40,1,2020-03-16
Albania,47,1,2020-03-23
Albania,123,8,2020-03-30
Albania,149,11,2020-04-06
Albania,85,2,2020-04-13
Albania,116,3,2020-04-20
Albania,164,2,2020-04-27
Albania,69,3,2020-05-04
Albania,73,0,2020-05-11
Albania,78,0,2020-05-18
Albania,52,1,2020-05-25
Albania,139,1,2020-06-01
Albania,109,1,2020-06-08
Albania,275,2,2020-06-15
Albania,406,8,2020-06-22
Albania,475,11,2020-06-29
Albania,491,21,2020-07-06
Albania,561,17,2020-07-13
Albania,636,19,2020-07-20
Albania,673,26,2020-07-27
Albania,756,28,2020-08-03
Albania,892,33,2020-08-10
Albania,969,29,2020-08-17
Albania,1047,22,2020-08-24
Albania,953,30,2020-08-31
Albania,875,36,2020-09-07
Albania,1098,18,2020-09-14
Albania,1032,28,2020-09-21
Albania,874,15,2020-09-28
Albania,1007,19,2020-10-05
Albania,1133,24,2020-10-12
Albania,1656,31,2020-10-19
Albania,2102,26,2020-10-26
Albania,2045,41,2020-11-02
Albania,3004,41,2020-11-09
Albania,3624,64,2020-11-16
Albania,4931,76,2020-11-23
Albania,4864,99,2020-11-30
Albania,5363,107,2020-12-07
Albania,5542,98,2020-12-14
Albania,4473,85,2020-12-21
Albania,3569,76,2020-12-28
Albania,4157,48,2021-01-04
Albania,4095,36,2021-01-11
Albania,4584,38,2021-01-18
Albania,5853,65,2021-01-25
Albania,7209,80,2021-02-01
Albania,7739,95,2021-02-08
Albania,7171,111,2021-02-15
Andorra,5,0,2020-03-16
Andorra,108,0,2020-03-23
Andorra,221,6,2020-03-30
Andorra,167,12,2020-04-06
Andorra,137,11,2020-04-13
Andorra,75,7,2020-04-20
Andorra,27,4,2020-04-27
Andorra,8,5,2020-05-04
Andorra,7,3,2020-05-11
Andorra,6,3,2020-05-18
Andorra,2,0,2020-05-25
Andorra,1,0,2020-06-01
Andorra,88,0,2020-06-08
Andorra,1,0,2020-06-15
Andorra,2,1,2020-06-22
Andorra,0,0,2020-06-29
Andorra,0,0,2020-07-06
Andorra,0,0,2020-07-13
Andorra,25,0,2020-07-20
Andorra,17,0,2020-07-27
Andorra,28,0,2020-08-03
Andorra,31,0,2020-08-10
Andorra,33,1,2020-08-17
Andorra,56,0,2020-08-24
Andorra,79,0,2020-08-31
Andorra,91,0,2020-09-07
Andorra,129,0,2020-09-14
Andorra,220,0,2020-09-21
Andorra,272,0,2020-09-28
Andorra,274,0,2020-10-05
Andorra,586,2,2020-10-12
Andorra,681,4,2020-10-19
Andorra,661,10,2020-10-26
Andorra,787,6,2020-11-02
Andorra,558,0,2020-11-09
Andorra,489,1,2020-11-16
Andorra,384,0,2020-11-23
Andorra,456,0,2020-11-30
Andorra,338,2,2020-12-07
Andorra,288,1,2020-12-14
Andorra,239,2,2020-12-21
Andorra,10,1,2020-12-28
Andorra,490,2,2021-01-04
Andorra,401,5,2021-01-11
Andorra,466,5,2021-01-18
Andorra,388,5,2021-01-25
Andorra,314,5,2021-02-01
Andorra,287,1,2021-02-08
Andorra,161,0,2021-02-15
Armenia,0,0,2020-01-06
Armenia,0,0,2020-01-13
Armenia,0,0,2020-01-20
Armenia,0,0,2020-01-27
Armenia,0,0,2020-02-03
Armenia,0,0,2020-02-10
Armenia,0,0,2020-02-17
Armenia,0,0,2020-02-24
Armenia,1,0,2020-03-02
Armenia,0,0,2020-03-09
Armenia,27,0,2020-03-16
Armenia,166,0,2020-03-23
Armenia,288,3,2020-03-30
Armenia,351,5,2020-04-06
Armenia,206,6,2020-04-13
